,Nº de Série do DOF,RegistroEntrada
327,526452,2019-11-02 15:39:00
328,560548,2019-09-27 18:12:00
329,643493,2019-09-25 12:50:00
330,383318,2019-09-27 11:42:00
331,647493,2019-11-02 15:39:00
332,630755,2019-09-27 18:12:00
333,636515,2019-09-25 12:50:00
334,622497,2019-09-27 11:42:00
335,474317,2019-10-28 17:34:00
336,471896,2019-09-27 18:12:00
337,527901,2019-10-28 17:34:00
338,587602,2019-09-27 11:42:00
339,469886,2019-09-27 11:42:00
340,474352,2019-09-27 18:12:00
341,580472,2019-09-27 18:12:00
342,527916,2019-09-25 12:50:00
343,572676,2019-11-02 15:39:00
344,242162,2019-09-27 11:42:00
345,483502,2019-09-27 18:12:00
346,479105,2019-09-27 18:12:00
347,603346,2019-09-27 18:12:00
348,402936,2019-10-28 17:34:00
349,508950,2019-09-25 12:50:00
350,597282,2019-10-28 17:34:00
351,597326,2019-09-27 11:42:00
352,522150,2019-09-27 18:12:00
353,522573,2019-09-27 18:12:00
354,504359,2019-09-27 18:12:00
355,326366,2019-09-25 12:50:00
356,335431,2019-09-27 11:42:00
357,335277,2019-09-27 11:42:00
358,610522,2019-11-02 15:39:00
359,553036,2019-10-28 17:34:00
360,554639,2019-09-25 12:50:00
361,553856,2019-09-27 11:42:00
362,498705,2019-09-25 12:50:00
363,525041,2019-09-25 12:50:00
364,523512,2019-11-02 15:39:00
365,522841,2019-09-27 18:12:00
366,517595,2019-10-28 17:34:00
367,549764,2019-09-27 18:12:00
368,673784,2019-11-02 15:39:00
369,293408,2019-09-25 12:50:00
370,574808,2019-10-28 17:34:00
371,485180,2019-10-28 17:34:00
372,487037,2019-11-02 15:39:00
373,484009,2019-11-02 15:39:00
374,364081,2019-09-27 18:12:00
375,609857,2019-10-28 17:34:00
376,492831,2019-09-27 18:12:00
377,338657,2019-11-02 15:39:00
378,295350,2019-09-25 12:50:00
379,592137,2019-11-02 15:39:00
380,409794,2019-10-28 17:34:00
381,648380,2019-10-28 17:34:00
382,683829,2019-11-02 15:39:00
383,565636,2019-09-25 12:50:00
384,567302,2019-11-02 15:39:00
385,444565,2019-09-27 18:12:00
386,706021,2019-11-02 15:39:00
387,635754,2019-09-27 18:12:00
388,635948,2019-10-28 17:34:00
389,634114,2019-09-27 11:42:00
390,344327,2019-09-25 12:50:00
391,344338,2019-10-28 17:34:00
392,508680,2019-11-02 15:39:00
393,517680,2019-09-27 18:12:00
394,432035,2019-11-02 15:39:00
395,581689,2019-09-27 11:42:00
396,494278,2019-11-02 15:39:00
397,615715,2019-11-02 15:39:00
398,613851,2019-09-27 11:42:00
399,275725,2019-09-25 12:50:00
400,541066,2019-09-27 11:42:00
401,492723,2019-09-25 12:50:00
402,572182,2019-09-27 18:12:00
403,568510,2019-09-27 18:12:00
404,568296,2019-09-25 12:50:00
405,479482,2019-09-27 18:12:00
406,519917,2019-09-27 18:12:00
407,541884,2019-09-25 12:50:00
408,522745,2019-09-27 18:12:00
409,617062,2019-09-27 18:12:00
410,511656,2019-09-27 11:42:00
411,284398,2019-09-27 18:12:00
412,636052,2019-10-28 17:34:00
413,543003,2019-09-25 12:50:00
414,537609,2019-11-02 15:39:00
415,537648,2019-09-25 12:50:00
416,534683,2019-09-25 12:50:00
417,644734,2019-09-27 18:12:00
418,463704,2019-09-25 12:50:00
419,462895,2019-09-25 12:50:00
