WFDOSSANTOSME;06.147.604/0001-41;510401;AC;RIO BRANCO;PATIO;W F 1;-9,935278;-67,868056;LO-91/2014;INSTITUTO DE MEIO AMBIENTE DO ACRE;26/02/2014;26/02/2018;08/02/2007;2007;Calycophyllum spruceanum;Mulateiro;Tora;2,466;M3;Madeira serrada (viga);1,233;M3;2,0;Ripas;0,28;M3;0,303;21/11/2019 10:00
WFDOSSANTOSME;06.147.604/0001-41;510401;AC;RIO BRANCO;PATIO;W F 1;-9,935278;-67,868056;LO-91/2014;INSTITUTO DE MEIO AMBIENTE DO ACRE;26/02/2014;26/02/2018;08/02/2007;2007;Calycophyllum spruceanum;Mulateiro;Tora;2,466;M3;Madeira serrada (viga);1,233;M3;2,0;Cavacos;0,65;M3;0,303;21/11/2019 10:00
ADOLFOSAADIIMPEEXP;10.175.586/0001-89;318011;AC;BRASILEIA;PATIO;PATIO 1;;;;;;;04/01/2007;2007;Copaifera langsdorffii;Copaíba;Tora;2,321;M3;Madeira serrada (tábua);1,16;M3;2,0009;Caibrinhos;0,2;M3;0,961;21/11/2019 10:00
ADOLFOSAADIIMPEEXP;10.175.586/0001-89;318011;AC;BRASILEIA;PATIO;PATIO 1;;;;;;;04/01/2007;2007;Hymenolobium petraeum;Angelim;Tora;1,722;M3;Madeira serrada (caibro);0,861;M3;2,0;Caibrinhos;0,2;M3;0,461;21/11/2019 10:00
ADOLFOSAADIIMPEEXP;10.175.586/0001-89;318011;AC;BRASILEIA;PATIO;PATIO 1;;;;;;;04/01/2007;2007;Hymenolobium petraeum;Angelim;Tora;1,722;M3;Madeira serrada (caibro);0,861;M3;2,0;Ripas;0,2;M3;0,461;21/11/2019 10:00
ADOLFOSAADIIMPEEXP;10.175.586/0001-89;318011;AC;BRASILEIA;PATIO;PATIO 1;;;;;;;06/01/2007;2007;Mezilaurus itauba;Itaúba;Tora;8,998;M3;Madeira serrada (prancha);4,499;M3;2,0;Caibrinhos;0,4;M3;3,799;21/11/2019 10:00
ADOLFOSAADIIMPEEXP;10.175.586/0001-89;318011;AC;BRASILEIA;PATIO;PATIO 1;;;;;;;06/01/2007;2007;Mezilaurus itauba;Itaúba;Tora;8,998;M3;Madeira serrada (prancha);4,499;M3;2,0;Ripas;0,3;M3;3,799;21/11/2019 10:00
MADEIREIRAFLORESTAINDECOMIMPEEXPORTAÇÃOLTDA;04.596.904/0001-82;9954;AC;RIO BRANCO;PATIO;MADEIREIRA FLORESTA;-9,943889;-67,891667;LO nº 584/2009;INSTITUTO DE MEIO AMBIENTE DO ACRE;22/10/2009;22/10/2012;10/01/2007;2007;Lecythis pisonis;Castanharana;Tora;30,0;M3;Madeira serrada (caibro);15,0;M3;2,0;Cavacos;2,5;M3;11,7;21/11/2019 10:00
MADEIREIRAFLORESTAINDECOMIMPEEXPORTAÇÃOLTDA;04.596.904/0001-82;9954;AC;RIO BRANCO;PATIO;MADEIREIRA FLORESTA;-9,943889;-67,891667;LO nº 584/2009;INSTITUTO DE MEIO AMBIENTE DO ACRE;22/10/2009;22/10/2012;10/01/2007;2007;Lecythis pisonis;Castanharana;Tora;30,0;M3;Madeira serrada (caibro);15,0;M3;2,0;Resíduo para Aproveitamento Industrial;0,8;M3;11,7;21/11/2019 10:00
ADOLFOSAADIIMPEEXP;10.175.586/0001-89;318011;AC;BRASILEIA;PATIO;PATIO 1;;;;;;;11/01/2007;2007;Qualea dinizii;Amarelão;Tora;2,378;M3;Madeira serrada (viga);1,189;M3;2,0;Caibrinhos;0,3;M3;0,289;21/11/2019 10:00
ADOLFOSAADIIMPEEXP;10.175.586/0001-89;318011;AC;BRASILEIA;PATIO;PATIO 1;;;;;;;11/01/2007;2007;Qualea dinizii;Amarelão;Tora;2,378;M3;Madeira serrada (viga);1,189;M3;2,0;Ripas;0,3;M3;0,289;21/11/2019 10:00
ADOLFOSAADIIMPEEXP;10.175.586/0001-89;318011;AC;BRASILEIA;PATIO;PATIO 1;;;;;;;11/01/2007;2007;Qualea dinizii;Amarelão;Tora;2,378;M3;Madeira serrada (viga);1,189;M3;2,0;Sarrafo;0,3;M3;0,289;21/11/2019 10:00
OUROBRANCOMADEIRASIMPEEXPLTDA;00.525.034/0001-08;25951;AC;CAPIXABA;PATIO;PATIO DA SERRARIA;-10,520556;-67,663056;LO-303/2016;INSTITUTO DE MEIO AMBIENTE DO ACRE;04/11/2016;04/11/2020;12/01/2007;2007;Hymenaea courbaril;Jatobá;Tora;36,201;M3;Madeira serrada (tábua);18,1;M3;2,0001;Resíduo para Aproveitamento Industrial;1,955;M3;16,146;21/11/2019 10:00
INDECOMDEMADGARÇABRANCALTDA;84.314.590/0001-17;22769;AC;ACRELANDIA;PATIO;MGB1;-10,066889;-67,034722;LO-474/2012;INSTITUTO DE MEIO AMBIENTE DO ACRE;08/10/2012;08/10/2016;18/01/2007;2007;Dialium guianense;Tamarindo;Tora;39,724;M3;Madeira serrada (tábua);19,862;M3;2,0;Tacos;7,092;M3;12,77;21/11/2019 10:00
INDECOMDEMADGARÇABRANCALTDA;84.314.590/0001-17;22769;AC;ACRELANDIA;PATIO;MGB1;-10,066889;-67,034722;LO-474/2012;INSTITUTO DE MEIO AMBIENTE DO ACRE;08/10/2012;08/10/2016;18/01/2007;2007;Hymenaea oblongifolia;Jutaí;Tora;23,312;M3;Madeira serrada (tábua);11,656;M3;2,0;Caibrinhos;4,321;M3;7,335;21/11/2019 10:00
WFDOSSANTOSME;06.147.604/0001-41;510401;AC;RIO BRANCO;PATIO;W F 1;-9,935278;-67,868056;LO-91/2014;INSTITUTO DE MEIO AMBIENTE DO ACRE;26/02/2014;26/02/2018;20/01/2007;2007;Ficus insipida;Figueira;Tora;23,583;M3;Madeira serrada (tábua);11,791;M3;2,0001;Cavacos;8,348;M3;3,444;21/11/2019 10:00
SMINDUSTRIALDEMADEIREIRALTDAME;07.723.402/0001-63;960705;AC;SENA MADUREIRA;PATIO;SM INDUSTRIAL DE MADEIREIRA LTDA;-9,063056;-68,676667;;;;;23/01/2007;2007;Cassia fastuosa;Angico;Tora;30,0;M3;Lâmina Desenrolada;15,0;M3;2,0;;;;15,0;21/11/2019 10:00
AGUIARAGROINDUSTRIALTDA;05.387.622/0001-38;302613;AC;SENA MADUREIRA;PATIO;PATIO AGUIAR;-9,102306;-68,619472;LO-424/2014;INSTITUTO DE MEIO AMBIENTE DO ACRE;19/12/2014;19/12/2018;31/01/2007;2007;Couratari tauari;Tauari;Tora;400,0;M3;Madeira serrada (tábua);200,0;M3;2,0;Resíduo para Aproveitamento Industrial;70,0;M3;90,0;21/11/2019 10:00
AGUIARAGROINDUSTRIALTDA;05.387.622/0001-38;302613;AC;SENA MADUREIRA;PATIO;PATIO AGUIAR;-9,102306;-68,619472;LO-424/2014;INSTITUTO DE MEIO AMBIENTE DO ACRE;19/12/2014;19/12/2018;31/01/2007;2007;Couratari tauari;Tauari;Tora;400,0;M3;Madeira serrada (tábua);200,0;M3;2,0;Sarrafo;25,0;M3;90,0;21/11/2019 10:00
AGUIARAGROINDUSTRIALTDA;05.387.622/0001-38;302613;AC;SENA MADUREIRA;PATIO;PATIO AGUIAR;-9,102306;-68,619472;LO-424/2014;INSTITUTO DE MEIO AMBIENTE DO ACRE;19/12/2014;19/12/2018;31/01/2007;2007;Couratari tauari;Tauari;Tora;400,0;M3;Madeira serrada (tábua);200,0;M3;2,0;Ripas;15,0;M3;90,0;21/11/2019 10:00
INDECOMDEMADGARÇABRANCALTDA;84.314.590/0001-17;22769;AC;ACRELANDIA;PATIO;MGB1;-10,066889;-67,034722;LO-474/2012;INSTITUTO DE MEIO AMBIENTE DO ACRE;08/10/2012;08/10/2016;08/02/2007;2007;Dipteryx odorata;Cumaruferro;Tora;70,0;M3;Madeira serrada (prancha);35,0;M3;2,0;Tacos;11,523;M3;23,477;21/11/2019 10:00
WFDOSSANTOSME;06.147.604/0001-41;510401;AC;RIO BRANCO;PATIO;W F 1;-9,935278;-67,868056;LO-91/2014;INSTITUTO DE MEIO AMBIENTE DO ACRE;26/02/2014;26/02/2018;08/02/2007;2007;Cariniana estrellensis;Jequitibá;Tora;0,865;M3;Madeira serrada (caibro);0,432;M3;2,0023;Cavacos;0,298;M3;0,135;21/11/2019 10:00
